file                                                 fns  gold  sat  edge  dark  ~edgeL  ~darkL  %offL
bus/row_rotation.rs                                  164     0    0   129    35    1911     345 100.0%
bus/bands.rs                                          93     0    0    84     9    1723      34 100.0%
bin/import_balancer.rs                                60     0    0     0    60       0    1097 100.0%
bus/ghost_router.rs                                  184   118    0     2    64       5     988  14.8%
validate/belt_flow.rs                                150   124    0     6    20     403     258  16.5%
bus/transit.rs                                        40     0    0    36     4     579       6 100.0%
celldb.rs                                             30     0    0    28     2     455       2 100.0%
bus/cells/placement.rs                                20     0    0    20     0     419       0 100.0%
bus/decomposition_search.rs                           80    55    0     3    22      12     351  20.8%
bus/template_validate.rs                              10     0    0    10     0     331       0 100.0%
bus/cells/compose.rs                                  17     1    0    16     0     285       0  86.1%
balancer/synth.rs                                     11     0    0    11     0     260       0 100.0%
bus/candidate_runner.rs                               20     0    0    16     4     235      17 100.0%
objective.rs                                          18     0    0    17     1     243       1 100.0%
connectivity.rs                                       25    15    0     9     1     219       3  27.6%
balancer/verify.rs                                     7     0    0     7     0     201       0 100.0%
bus/template_candidate.rs                             10     0    0     9     1     195       6 100.0%
bus/partitioner.rs                                    40    26    0     4    10      89     110  26.0%
verdict.rs                                            25     0    0    19     6     184      14 100.0%
blueprint.rs                                          22     7    0    15     0     194       0  35.8%
sat.rs                                                55    46    0     8     1     177       1  11.1%
blueprint_parser.rs                                   31    10    0    14     7     115      51  40.6%
fixture.rs                                            12     0    0    11     1     161       1 100.0%
balancer/graph.rs                                     16     0    0     9     7     138      23 100.0%
zone_cache.rs                                         53    36    0     9     8     127      29  23.1%
bus/junction_solver.rs                                91    73    0     0    18       0     154   7.5%
short_ids.rs                                          19     0    0    17     2     150       2 100.0%
bus/balancer_topology.rs                              12     0    0    11     1     143       8 100.0%
analysis.rs                                           33    21    0     1    11       5     120  21.2%
bus/balancer_classify.rs                              31    25    0     6     0     124       0  19.8%
preview.rs                                             8     0    0     7     1     122       1 100.0%
validate/mod.rs                                      104    93    0    11     0     122       0  12.7%
bus/region_reimprove.rs                                5     0    0     0     5       0     119 100.0%
balancer/placement/cp_sat.rs                          11     0    0     0    11       0     106 100.0%
recipe_db.rs                                          27    12    0    10     5      86      15  44.5%
bus/placer.rs                                        164   157    0     2     5      44      49   3.0%
balancer/bake.rs                                       1     0    0     1     0      89       0 100.0%
bus/ghost_occupancy.rs                                30    15    0    11     4      70      12  28.3%
netflow.rs                                            87    71    0    15     1      79       3   5.3%
bus/layout.rs                                        114   104    0     4     6      41      40   3.4%
module_policy.rs                                      13     4    0     9     0      67       0  44.7%
bus/balancer_generate.rs                              13    11    0     2     0      64       0  20.3%
trace.rs                                              47    35    0     4     8       9      48  28.4%
balancer/placement/library_lookup.rs                   5     0    0     3     2      44       6 100.0%
balancer/placement/mod.rs                              1     0    0     0     1       0      50 100.0%
bus/balancer_library.rs                               12     8    0     2     2       2      43   9.3%
bus/cells/chain.rs                                   105    92    0     0    13       0      41   2.3%
fluid_ports.rs                                        13     9    0     4     0      29       0  29.0%
validate/modules.rs                                   10     2    0     8     0      28       0  19.0%
snapshot.rs                                            8     5    0     1     2      19       7  24.1%
solver.rs                                              8     7    0     1     0      24       0  15.7%
bus/di_cell.rs                                        16    11    0     0     5       0      23  14.1%
bus/cells/registry.rs                                 11     6    0     1     4       3      11  10.7%
common.rs                                             54    52    0     2     0      13       0   2.9%
bus/cells/mega.rs                                     57    48    0     1     8       1      10   1.0%
validate/power.rs                                      6     5    0     1     0      11       0   8.9%
bus/junction.rs                                        7     5    0     0     2       0      10  14.1%
bus/cells/extract.rs                                  11     8    0     1     2       7       2   6.1%
bus/stacking_ctx.rs                                    5     2    0     3     0       9       0  16.4%
bus/junction_sat_strategy.rs                          61    58    0     0     3       0       8   0.4%
power_wires.rs                                        20    18    0     1     1       1       7   4.1%
bus/shape_fix.rs                                       7     5    0     0     2       0       6  13.6%
validate/sushi.rs                                     17    16    0     1     0       6       0   2.8%
bus/region_walker.rs                                  13    12    0     1     0       3       0   1.3%
bus/templates.rs                                      69    66    0     1     2       1       2   0.1%
models.rs                                              4     3    0     1     0       3       0  25.0%
validate/fluids.rs                                    52    50    0     1     1       1       1   0.3%
bus/eviction.rs                                       35    34    0     0     1       0       1   0.2%
bus/lane_planner.rs                                   58    57    0     0     1       0       1   0.1%
astar.rs                                               5     5    0     0     0       0       0   0.0%
bus/balancer.rs                                       17    17    0     0     0       0       0   0.0%
bus/inserter_ladder.rs                                14    14    0     0     0       0       0   0.0%
bus/junction_cost.rs                                   3     3    0     0     0       0       0   0.0%
bus/lane_order.rs                                     18    18    0     0     0       0       0   0.0%
bus/output_merger.rs                                   9     9    0     0     0       0       0   0.0%
bus/tapoff_search.rs                                   0     0    0     0     0       0       0      -
bus/trunk_renderer.rs                                  3     3    0     0     0       0       0   0.0%
bus/voider.rs                                          7     7    0     0     0       0       0   0.0%
classify.rs                                           55    55    0     0     0       0       0   0.0%
density.rs                                             4     4    0     0     0       0       0   0.0%
validate/belt_detour.rs                               18    18    0     0     0       0       0   0.0%
validate/belt_structural.rs                           31    31    0     0     0       0       0   0.0%
validate/inserters.rs                                 44    44    0     0     0       0       0   0.0%
----------------------------------------------------------------------------------------------------
TOTAL (production fns, crates/core/src)             2896  1866    0   637   393   10081    4243  24.1%
